Gene,log2FC_G1G3_vs_G2G4,pvalue_ttest,direction
ENSG00000005882.13,-0.1111094571968448,0.9116306870329736,Up_in_G2G4
ENSG00000005884.19,1.0640209426276992,0.07821225246919287,Up_in_G1G3
ENSG00000005889.17,0.27070245512981395,0.7870275698509519,Up_in_G1G3
ENSG00000005893.18,-0.018138176078671915,0.9696587438509722,Up_in_G2G4
ENSG00000005981.13,0.38713750010302234,0.20312418193039727,Up_in_G1G3
ENSG00000006007.13,0.36948667073825264,0.3675072607237828,Up_in_G1G3
ENSG00000006015.19,0.8296497277039481,0.03228551430648029,Up_in_G1G3
ENSG00000006016.13,0.1607142857142857,0.4859889901483101,Up_in_G1G3
ENSG00000006025.14,0.12084956751210793,0.8968356956346373,Up_in_G1G3
ENSG00000006042.13,0.29973313113008887,0.5679167833991129,Up_in_G1G3
ENSG00000006062.19,0.17857142857142852,0.5052401481388842,Up_in_G1G3
ENSG00000006071.16,-0.29596065461504084,0.4548693436017851,Up_in_G2G4
ENSG00000006118.15,-0.4600690443677754,0.6338111805321733,Up_in_G2G4
ENSG00000006125.19,0.6476447326905076,0.27235558272407356,Up_in_G1G3
ENSG00000006194.12,-0.49827339687763056,0.564460152819246,Up_in_G2G4
ENSG00000006210.7,-0.6652410118609204,0.15021857983585457,Up_in_G2G4
ENSG00000006282.23,0.6131763449582553,0.37079219917598305,Up_in_G1G3
ENSG00000006283.18,-0.125,0.35061666282020737,Up_in_G2G4
ENSG00000006327.15,0.3966577086919006,0.3696361271247225,Up_in_G1G3
ENSG00000006432.16,-0.125,0.35061666282020737,Up_in_G2G4
ENSG00000006451.9,0.26954521078153726,0.4912825863155995,Up_in_G1G3
ENSG00000006453.15,0.14285714285714285,0.3559176837495821,Up_in_G1G3
ENSG00000006459.11,0.14149893401242267,0.7766710648736936,Up_in_G1G3
ENSG00000006468.16,0.030611527101180928,0.9676904500224703,Up_in_G1G3
ENSG00000006530.19,-0.3198047058189464,0.7543815999279977,Up_in_G2G4
ENSG00000006576.18,0.3863270431966805,0.5937973373639711,Up_in_G1G3
ENSG00000006606.9,-0.5402410118609203,0.11524335516999269,Up_in_G2G4
ENSG00000006607.15,1.0877727636068484,0.05724527580742472,Up_in_G1G3
ENSG00000006611.17,0.14285714285714285,0.3559176837495821,Up_in_G1G3
ENSG00000006625.19,-0.3227948153050865,0.45759600034910297,Up_in_G2G4
ENSG00000006634.9,0.5118695325695214,0.498486879475853,Up_in_G1G3
ENSG00000006638.13,-0.6425185859628411,0.28605204875935564,Up_in_G2G4
ENSG00000006659.13,-0.3509193652572005,0.3506166628202075,Up_in_G2G4
ENSG00000006695.13,0.1570533407912439,0.7836022693561743,Up_in_G1G3
ENSG00000006704.12,1.274246979364447,0.20756312738610252,Up_in_G1G3
ENSG00000006712.16,0.4151466863647083,0.31874021369371086,Up_in_G1G3
ENSG00000006715.17,0.1845458772907648,0.7647065282410221,Up_in_G1G3
ENSG00000006744.20,0.7677219575728946,0.3766062047825254,Up_in_G1G3
ENSG00000006747.15,0.04429798667947858,0.9148890820540307,Up_in_G1G3
ENSG00000006756.17,0.03469984886645556,0.9531663531097738,Up_in_G1G3
ENSG00000006757.13,0.08022774647397077,0.8947596950936619,Up_in_G1G3
ENSG00000006831.10,0.11087173537819074,0.7562777598133057,Up_in_G1G3
ENSG00000007062.13,0.9322684908974549,0.22471089146615075,Up_in_G1G3
ENSG00000007080.12,0.4482631575058872,0.24689026604305084,Up_in_G1G3
ENSG00000007129.18,-0.2902410118609203,0.3506166628202075,Up_in_G2G4
ENSG00000007168.16,0.09166356885523518,0.7871420654469878,Up_in_G1G3
ENSG00000007174.18,-0.2902410118609203,0.3506166628202075,Up_in_G2G4
ENSG00000007202.17,0.36242016602526017,0.6410288895978635,Up_in_G1G3
ENSG00000007255.11,0.0709932313589358,0.8910814062388646,Up_in_G1G3
ENSG00000007312.15,0.9612598129279832,0.1262610318080616,Up_in_G1G3
ENSG00000007341.20,-0.3390137486434663,0.6772332599156439,Up_in_G2G4
ENSG00000007372.25,0.2857142857142857,0.3559176837495821,Up_in_G1G3
ENSG00000007376.9,0.7395512394034176,0.22645106081419453,Up_in_G1G3
ENSG00000007384.16,-0.16669944687765273,0.8267935429657192,Up_in_G2G4
ENSG00000007392.18,0.03433889513452283,0.9482584380029216,Up_in_G1G3
ENSG00000007402.13,0.2786342454487275,0.6297506430774961,Up_in_G1G3
ENSG00000007520.5,0.4398928323871624,0.44054302906016907,Up_in_G1G3
ENSG00000007541.18,-1.0890351123637,0.18397168813584355,Up_in_G2G4
ENSG00000007866.22,0.1607142857142857,0.4859889901483101,Up_in_G1G3
ENSG00000007908.16,-0.9711574461800961,0.22278235422492662,Up_in_G2G4
ENSG00000007923.18,-0.02947263290770965,0.9646703574921086,Up_in_G2G4
ENSG00000007944.15,-0.6196689874742147,0.4117152885909585,Up_in_G2G4
ENSG00000007952.18,0.40105070315108626,0.35591768374958205,Up_in_G1G3
ENSG00000007968.7,0.5281325849839088,0.23112622578792608,Up_in_G1G3
ENSG00000008018.10,-0.12404848533235181,0.8548677036129873,Up_in_G2G4
ENSG00000008083.14,0.2442180151936585,0.6644047554150176,Up_in_G1G3
ENSG00000008086.13,-0.37768520670873446,0.5047412935360814,Up_in_G2G4
ENSG00000008118.10,-0.125,0.35061666282020737,Up_in_G2G4
ENSG00000008130.15,0.2919727090429184,0.4415761202787659,Up_in_G1G3
ENSG00000008226.21,-0.19812031259014454,0.3506166628202075,Up_in_G2G4
ENSG00000008256.18,-0.7369690178028848,0.18422478503593115,Up_in_G2G4
ENSG00000008282.11,-0.1612307078254971,0.7359788537143777,Up_in_G2G4
ENSG00000008283.17,1.3412995196687505,0.01590445424787958,Up_in_G1G3
ENSG00000008294.23,1.1610014130654176,0.06598597861236574,Up_in_G1G3
ENSG00000008311.17,0.5040095233819541,0.6351540936427429,Up_in_G1G3
ENSG00000008323.16,0.14285714285714285,0.3559176837495821,Up_in_G1G3
ENSG00000008324.13,-0.4371568749698894,0.5757411278230324,Up_in_G2G4
ENSG00000008382.17,2.073622963054348,0.006722493196294345,Up_in_G1G3
ENSG00000008394.14,0.223545564344753,0.6895690333524245,Up_in_G1G3
ENSG00000008405.13,0.7030668818281035,0.22764000453165587,Up_in_G1G3
ENSG00000008441.19,0.7592635878572799,0.15509399225260462,Up_in_G1G3
ENSG00000008513.18,0.5435590396394586,0.1958432496620258,Up_in_G1G3
ENSG00000008516.20,-0.14421535170186303,0.7713856835117261,Up_in_G2G4
ENSG00000008517.20,-0.7099503820387669,0.2744648572573685,Up_in_G2G4
ENSG00000008710.20,1.0210783925723845,0.14319945029266692,Up_in_G1G3
ENSG00000008838.22,0.36294443338940235,0.6477115760794965,Up_in_G1G3
ENSG00000008853.19,0.7202566175050424,0.4915550316298428,Up_in_G1G3
ENSG00000008869.13,0.6016226044294307,0.26624119929011947,Up_in_G1G3
ENSG00000008952.18,-0.15932274239845254,0.7633336377032396,Up_in_G2G4
ENSG00000008988.12,-0.29965314786554964,0.626625784962754,Up_in_G2G4
ENSG00000009307.18,0.5176602663558494,0.19886896276001423,Up_in_G1G3
ENSG00000009335.20,0.4912084445235785,0.1531037465287887,Up_in_G1G3
ENSG00000009413.17,0.4626272351487748,0.5412602515866702,Up_in_G1G3
ENSG00000009724.19,-0.125,0.35061666282020737,Up_in_G2G4
ENSG00000009780.17,0.7508488511594897,0.41580458239382134,Up_in_G1G3
ENSG00000009830.14,2.1200464559612358,0.016118348114084233,Up_in_G1G3
ENSG00000009844.17,0.44084571446096954,0.4335064683981602,Up_in_G1G3
ENSG00000009954.11,1.1782374710135086,0.06352101587348283,Up_in_G1G3
ENSG00000010017.14,0.06638192612721447,0.8759552529389177,Up_in_G1G3
ENSG00000010030.14,-1.2153509413961934,0.08734157735208552,Up_in_G2G4
ENSG00000010072.17,-0.6150158471602176,0.4238804589636652,Up_in_G2G4
ENSG00000010165.21,0.4957428280997144,0.17440451496868245,Up_in_G1G3
ENSG00000010219.14,-0.07067262740439192,0.8912793951810689,Up_in_G2G4
ENSG00000010244.20,0.5708074399308473,0.17339949798339574,Up_in_G1G3
ENSG00000010256.13,0.4094226543579086,0.41592513230896644,Up_in_G1G3
ENSG00000010270.15,0.3458036531118814,0.38207890061705063,Up_in_G1G3
ENSG00000010278.16,-0.004453786112731122,0.9902528159997857,Up_in_G2G4
ENSG00000010292.14,-0.14458192780031687,0.7106821400298561,Up_in_G2G4
ENSG00000010295.21,0.5290190575421089,0.608987006125946,Up_in_G1G3
ENSG00000010318.22,0.42857142857142855,0.07814074941121588,Up_in_G1G3
ENSG00000010319.8,0.3972632249730922,0.5608269784826072,Up_in_G1G3
ENSG00000010322.17,1.5763483976629653,0.044575639608862336,Up_in_G1G3
ENSG00000010327.11,0.5875140746437915,0.349695318997411,Up_in_G1G3
ENSG00000010361.15,0.6647563590031134,0.3621877015060607,Up_in_G1G3
ENSG00000010404.19,0.4869854502892545,0.46773562139596825,Up_in_G1G3
ENSG00000010438.17,0.30580990522344514,0.6495410983001967,Up_in_G1G3
ENSG00000010539.13,1.2207920256738884,0.1483038463967976,Up_in_G1G3
ENSG00000010626.16,0.08383765559646898,0.9184618047314994,Up_in_G1G3
ENSG00000010671.18,0.14285714285714285,0.35591768374958205,Up_in_G1G3
ENSG00000010704.20,1.2617502888847216,0.22533554540415518,Up_in_G1G3
ENSG00000010803.19,-0.07478803285009786,0.9228111187450926,Up_in_G2G4
ENSG00000010810.19,0.42200898267795955,0.44742194342725705,Up_in_G1G3
ENSG00000010818.11,0.4049946429601652,0.47210848387475557,Up_in_G1G3
ENSG00000011007.14,1.0144127411122785,0.21146831621778248,Up_in_G1G3
ENSG00000011009.13,0.1119593346635267,0.853973987811157,Up_in_G1G3
ENSG00000011021.24,0.7025320269776192,0.45272144664514224,Up_in_G1G3
ENSG00000011028.14,1.061929024717895,0.25859477548800536,Up_in_G1G3
ENSG00000011105.15,0.4481649898563852,0.4904268779078733,Up_in_G1G3
ENSG00000011114.15,0.9676210451424808,0.08213340347922797,Up_in_G1G3
ENSG00000011132.13,-0.4961337758119968,0.4981095700583057,Up_in_G2G4
ENSG00000011143.20,0.9864064555007626,0.20158458180886907,Up_in_G1G3
ENSG00000011198.11,-1.1120205456861658,0.21778869508506554,Up_in_G2G4
ENSG00000011201.12,-0.125,0.35061666282020737,Up_in_G2G4
ENSG00000011243.20,0.5682373778336061,0.5100507516292874,Up_in_G1G3
ENSG00000011258.16,0.48438615688127235,0.5604930437802988,Up_in_G1G3
ENSG00000011260.15,0.6116580223159386,0.35037359469855645,Up_in_G1G3
ENSG00000011275.19,0.5954063060864524,0.3417367640905409,Up_in_G1G3
ENSG00000011295.17,-0.07241588457437925,0.9414930885607811,Up_in_G2G4
ENSG00000011304.23,0.15781100259514202,0.6790965623661329,Up_in_G1G3
ENSG00000011332.22,0.1607142857142857,0.4859889901483101,Up_in_G1G3
ENSG00000011347.10,-0.19812031259014454,0.3506166628202075,Up_in_G2G4
ENSG00000011376.13,-0.6311268471775346,0.5334826100692356,Up_in_G2G4
ENSG00000011405.15,1.034528038916457,0.09101628545925008,Up_in_G1G3
ENSG00000011422.13,0.1194996060737157,0.8810370030418714,Up_in_G1G3
ENSG00000011426.12,0.821892514530414,0.2889080792298644,Up_in_G1G3
ENSG00000011451.22,0.7005780489567034,0.2788915633159515,Up_in_G1G3
ENSG00000011454.19,0.48584534110274946,0.3575560724019835,Up_in_G1G3
ENSG00000011465.18,-0.3783834823231462,0.39493057939469034,Up_in_G2G4
ENSG00000011478.13,0.5538595961827177,0.590858670826014,Up_in_G1G3
ENSG00000011485.16,0.5501952662520181,0.408138944554549,Up_in_G1G3
ENSG00000011523.16,0.007214901967776447,0.9883249138065817,Up_in_G1G3
ENSG00000011566.16,0.9436294135406061,0.26637976162637134,Up_in_G1G3
ENSG00000011590.14,0.14285714285714285,0.35591768374958205,Up_in_G1G3
ENSG00000011638.12,0.9932648676727341,0.3087993335019596,Up_in_G1G3
ENSG00000012048.27,0.9050715519431313,0.306968404578978,Up_in_G1G3
ENSG00000012061.18,0.5351330433588555,0.3072803003643802,Up_in_G1G3
ENSG00000012124.17,-0.25,0.1704706607870538,Up_in_G2G4
ENSG00000012171.21,-0.2902410118609203,0.3506166628202075,Up_in_G2G4
ENSG00000012174.13,-0.9633750008660117,0.2169792422798818,Up_in_G2G4
ENSG00000012211.14,-0.6637642357205791,0.2037853569946407,Up_in_G2G4
ENSG00000012232.11,0.6092173148531614,0.40488028715334856,Up_in_G1G3
ENSG00000012660.15,0.325568193654807,0.54117273408151,Up_in_G1G3
ENSG00000012817.17,0.01785714285714285,0.9265490221314105,Up_in_G1G3
ENSG00000012822.17,0.5704319389419069,0.3318224745816445,Up_in_G1G3
ENSG00000012963.15,0.596603620626826,0.3572031781823376,Up_in_G1G3
ENSG00000012983.13,0.48729262582668326,0.5967057301979903,Up_in_G1G3
ENSG00000013016.16,0.5515186199646169,0.28436499620474054,Up_in_G1G3
ENSG00000013275.8,0.1820537296420253,0.6598868624893808,Up_in_G1G3
ENSG00000013288.10,-0.1187665162694467,0.8573535549177116,Up_in_G2G4
ENSG00000013297.13,0.47412529864212527,0.3233748426552352,Up_in_G1G3
ENSG00000013306.17,0.7489614351115312,0.19609429424564806,Up_in_G1G3
ENSG00000013374.18,0.07169712062313886,0.8689939089594263,Up_in_G1G3
ENSG00000013375.18,1.2739092612161065,0.00878379323144305,Up_in_G1G3
ENSG00000013392.9,-0.1898360461383447,0.7393138269713446,Up_in_G2G4
ENSG00000013441.18,-0.8647828760052061,0.3862981850179016,Up_in_G2G4
ENSG00000013503.11,1.1650698559442583,0.13552740258823717,Up_in_G1G3
ENSG00000013523.13,0.04506718264876786,0.9622489632333339,Up_in_G1G3
ENSG00000013561.19,0.5655516876260731,0.1939426149853284,Up_in_G1G3
ENSG00000013563.15,0.790317991918057,0.18949367263152275,Up_in_G1G3
ENSG00000013573.18,0.3863099751205612,0.741158993881337,Up_in_G1G3
ENSG00000013583.11,0.586930170689786,0.2305982141076817,Up_in_G1G3
ENSG00000013588.11,0.07323254919535756,0.9091572003245407,Up_in_G1G3
ENSG00000013619.15,-0.77875569852443,0.3641450244614154,Up_in_G2G4
ENSG00000013810.22,0.5404894736203955,0.5050094262699236,Up_in_G1G3
ENSG00000014123.11,-0.11668980262681196,0.8032444110004378,Up_in_G2G4
ENSG00000014138.11,0.1804879991411208,0.784992638856005,Up_in_G1G3
ENSG00000014164.8,0.3187433037002066,0.5045694388069561,Up_in_G1G3
ENSG00000014216.17,0.3613286014203145,0.33530824926299674,Up_in_G1G3
ENSG00000014641.22,-0.03750171191129391,0.9242498807486924,Up_in_G2G4
ENSG00000014824.15,0.6352725016843008,0.35636744301584494,Up_in_G1G3
ENSG00000014914.22,0.8293915139211073,0.3331330141847494,Up_in_G1G3
ENSG00000014919.14,-0.2035963700096015,0.6154030218873343,Up_in_G2G4
ENSG00000015133.20,0.14612341241217797,0.8649199555230629,Up_in_G1G3
ENSG00000015153.16,-0.755160316678433,0.35823811107734593,Up_in_G2G4
ENSG00000015171.22,-0.31495169038946075,0.6662248257014873,Up_in_G2G4
ENSG00000015475.20,1.000742174423497,0.24002770237990043,Up_in_G1G3
ENSG00000015479.21,0.4065581207112491,0.3702217269490061,Up_in_G1G3
ENSG00000015532.11,1.512630866828126,0.039305392551766086,Up_in_G1G3
ENSG00000015568.13,0.06989614676248757,0.9217845415534205,Up_in_G1G3
ENSG00000015676.19,0.05899473838928005,0.896814845612536,Up_in_G1G3
ENSG00000016082.16,0.0357142857142857,0.8871422542600782,Up_in_G1G3
ENSG00000016864.20,0.9115098553927008,0.26898728087041623,Up_in_G1G3
ENSG00000017260.21,0.18444166118557181,0.8271846172521531,Up_in_G1G3
ENSG00000017427.18,0.01785714285714285,0.9265490221314105,Up_in_G1G3
ENSG00000017483.17,0.85081680866478,0.33354441702366144,Up_in_G1G3
ENSG00000017797.14,0.9151596022111961,0.18860858664267302,Up_in_G1G3
ENSG00000018189.14,0.6407946475050974,0.5267595875125652,Up_in_G1G3
ENSG00000018280.18,-0.25910312507726674,0.5418399714572815,Up_in_G2G4
ENSG00000018408.16,0.038217119210367585,0.949891918855273,Up_in_G1G3
ENSG00000018510.19,1.1190535115773024,0.19868063426388022,Up_in_G1G3
ENSG00000018610.16,-0.49744034672070464,0.4808173564081021,Up_in_G2G4
ENSG00000018699.14,-0.2984611655686585,0.6190344041596278,Up_in_G2G4
ENSG00000018869.19,0.105451115981284,0.7288421291087228,Up_in_G1G3
ENSG00000019102.13,-0.1802631697330017,0.503459163969592,Up_in_G2G4
ENSG00000019144.21,0.472740222084745,0.5492698343265432,Up_in_G1G3
ENSG00000019485.14,0.9954526742953789,0.016428502893862076,Up_in_G1G3
ENSG00000019549.13,0.17857142857142852,0.5052401481388843,Up_in_G1G3
ENSG00000019582.18,0.32541227277256707,0.7591546796966389,Up_in_G1G3
ENSG00000019991.18,0.10142321438873661,0.7036373895439065,Up_in_G1G3
ENSG00000019995.6,0.5242104694871065,0.3728997238671642,Up_in_G1G3
ENSG00000020129.17,0.25842266150695153,0.7132818638189937,Up_in_G1G3
ENSG00000020181.19,0.37042583449841315,0.48208696793840855,Up_in_G1G3
ENSG00000020256.21,0.2690031856862114,0.7771895395543285,Up_in_G1G3
ENSG00000020426.12,0.5956901767423681,0.2972178569696814,Up_in_G1G3
ENSG00000020577.15,1.4016567915539362,0.07385427013577686,Up_in_G1G3
ENSG00000020922.14,1.1337790371322782,0.08428833508261808,Up_in_G1G3
ENSG00000021300.14,-0.10714285714285715,0.630127414347461,Up_in_G2G4
ENSG00000021355.14,-0.17727131744780975,0.8238430575803357,Up_in_G2G4
ENSG00000021574.15,1.2216073037314898,0.22803302381134796,Up_in_G1G3
ENSG00000021645.20,0.6352754421267661,0.22729618225971784,Up_in_G1G3
ENSG00000021762.21,-0.30494273181772097,0.7460477533594136,Up_in_G2G4
ENSG00000021776.12,1.0524087711053287,0.13882499620300517,Up_in_G1G3
ENSG00000022267.20,-0.2216107701937252,0.8580348371168773,Up_in_G2G4
ENSG00000022277.14,0.2732954653492749,0.5805044693750581,Up_in_G1G3
ENSG00000022556.16,-0.5072983489062144,0.29683659175559607,Up_in_G2G4
ENSG00000022567.11,0.2822564313894875,0.7765177867361863,Up_in_G1G3
ENSG00000022840.17,-0.030634814295848148,0.9283876372278989,Up_in_G2G4
ENSG00000022976.17,0.06689247121746444,0.9390077443919602,Up_in_G1G3
ENSG00000023041.13,-0.18450312416137124,0.753054973823726,Up_in_G2G4
ENSG00000023171.21,-0.46120166647596106,0.3115828524021777,Up_in_G2G4
ENSG00000023191.17,0.5494345179387966,0.2622242052030152,Up_in_G1G3
ENSG00000023228.15,0.3965673441900125,0.5264897961073245,Up_in_G1G3
ENSG00000023287.14,1.0956359604646764,0.2013516190583247,Up_in_G1G3
ENSG00000023318.10,0.14307847083120584,0.7422540766458057,Up_in_G1G3
ENSG00000023330.16,0.790731621733375,0.28042940763139385,Up_in_G1G3
ENSG00000023445.17,-0.23214285714285712,0.3360548404829572,Up_in_G2G4
ENSG00000023516.10,0.03133727682434769,0.9505933275167321,Up_in_G1G3
ENSG00000023572.10,0.2742933767467191,0.6730602685236196,Up_in_G1G3
ENSG00000023608.6,0.24931374759117989,0.6051739307809245,Up_in_G1G3
ENSG00000023697.14,0.2559268964724862,0.6749853438961766,Up_in_G1G3
ENSG00000023734.12,0.4979028206990488,0.40737047543995464,Up_in_G1G3
ENSG00000023839.12,0.5581272279440741,0.18129252073114008,Up_in_G1G3
ENSG00000023902.14,0.01210170809760314,0.9713378364691416,Up_in_G1G3
ENSG00000023909.11,1.342481827994715,0.06137410211161425,Up_in_G1G3
ENSG00000024048.12,1.0248475478323098,0.26619562227467997,Up_in_G1G3
ENSG00000024422.13,0.9337166267899036,0.08552362997759586,Up_in_G1G3
ENSG00000024526.18,0.17429558105359372,0.7919333509082458,Up_in_G1G3
ENSG00000024862.19,0.040517226703001,0.9309566947304656,Up_in_G1G3
ENSG00000025156.14,0.308773351053215,0.6722035306558278,Up_in_G1G3
ENSG00000025293.18,-0.5799367604158968,0.3045357974713884,Up_in_G2G4
ENSG00000025423.12,0.14285714285714285,0.3559176837495821,Up_in_G1G3
ENSG00000025434.20,1.6045740378449789,0.06305444327227376,Up_in_G1G3
ENSG00000025708.15,0.734162672481434,0.3142145828668466,Up_in_G1G3
ENSG00000025770.20,0.047264071187899534,0.9523107201888664,Up_in_G1G3
ENSG00000025772.9,0.30144962706507267,0.6139610256586411,Up_in_G1G3
ENSG00000025796.15,0.7016290436076036,0.31370065331602076,Up_in_G1G3
ENSG00000025800.14,0.2925885046994872,0.49593895015358,Up_in_G1G3
ENSG00000026025.17,0.49391759027162063,0.19195541355742599,Up_in_G1G3
ENSG00000026103.25,0.769357205063138,0.31340710472782557,Up_in_G1G3
ENSG00000026508.22,0.6380073740539932,0.4465481667209914,Up_in_G1G3
ENSG00000026559.14,0.14285714285714285,0.3559176837495821,Up_in_G1G3
ENSG00000026652.16,0.13892017969992126,0.8515547233865064,Up_in_G1G3
ENSG00000026950.19,0.19240373107478093,0.8490589032840228,Up_in_G1G3
ENSG00000027001.11,0.22490616405020342,0.7880820691057722,Up_in_G1G3
ENSG00000027697.17,-0.4275207859104671,0.7077669796971795,Up_in_G2G4
ENSG00000027847.15,0.45595677149499303,0.6440125356202624,Up_in_G1G3
