"Gene","HUVEC_low1","HUVEC_low2","HUVEC_low3","HUVEC_high1","HUVEC_high2","HUVEC_high3","HUVEC_high4","HUAEC_low1","HUAEC_low2","HUAEC_low3","HUAEC_low4","HUAEC_high1","HUAEC_high2","HUAEC_high3","HUAEC_high4"
"ENSG00000005448.18",35,19,21,70,37,68,28,58,35,52,34,51,11,43,47
"ENSG00000005469.13",4,0,3,5,6,6,1,6,8,22,9,16,1,6,4
"ENSG00000005483.23",25,10,1,43,13,22,1,3,69,16,2,14,0,20,12
"ENSG00000005486.18",14,32,17,16,0,51,6,40,28,49,35,46,1,38,27
"ENSG00000005700.15",25,13,18,18,31,1,15,33,31,8,13,8,2,12,1
"ENSG00000005801.19",47,31,21,70,22,89,29,91,67,28,75,89,14,147,58
"ENSG00000005810.21",12,11,0,12,1,24,0,23,47,82,35,24,1,16,9
"ENSG00000005812.12",4,1,0,3,13,11,5,2,2,8,9,3,1,8,11
"ENSG00000005882.13",1,0,1,5,0,6,15,20,2,23,43,12,1,20,7
"ENSG00000005884.19",35,22,13,23,16,22,13,64,154,93,95,34,13,51,44
"ENSG00000005889.17",20,0,25,25,15,24,20,15,24,46,15,49,0,24,1
"ENSG00000005893.18",18,17,18,79,37,41,27,45,68,69,67,48,11,63,29
"ENSG00000005981.13",1,0,2,0,1,0,0,0,1,0,0,0,0,0,0
"ENSG00000006007.13",21,12,9,39,11,23,22,21,36,32,22,14,9,19,5
"ENSG00000006015.19",82,61,34,55,74,34,70,61,106,168,66,40,25,33,26
"ENSG00000006016.13",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"ENSG00000006025.14",0,0,0,8,0,28,0,1,12,8,0,0,0,0,0
"ENSG00000006042.13",43,49,30,77,89,57,33,63,107,68,54,54,5,101,40
"ENSG00000006062.19",0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
"ENSG00000006071.16",1,0,0,0,1,0,4,0,0,0,2,0,0,1,1
"ENSG00000006118.15",19,0,1,34,40,6,8,33,22,39,50,12,8,35,27
"ENSG00000006125.19",70,73,30,132,70,65,16,31,103,157,85,109,11,49,19
"ENSG00000006194.12",7,3,0,1,16,8,28,11,1,24,21,7,1,19,14
"ENSG00000006210.7",0,0,0,0,0,0,1,0,0,0,0,9,0,1,0
"ENSG00000006282.23",30,11,17,70,22,49,24,36,67,30,29,36,1,8,10
"ENSG00000006283.18",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006327.15",80,87,88,171,153,163,126,184,266,264,239,135,27,128,124
"ENSG00000006432.16",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006451.9",320,211,217,368,301,294,270,326,514,449,392,364,58,479,356
"ENSG00000006453.15",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006459.11",0,0,1,1,0,6,0,0,4,0,1,0,0,0,0
"ENSG00000006468.16",2,0,0,0,0,11,1,9,6,0,1,4,0,0,6
"ENSG00000006530.19",0,17,10,33,14,13,1,6,68,1,1,10,8,0,9
"ENSG00000006576.18",12,34,18,48,16,43,48,18,40,38,37,26,0,26,23
"ENSG00000006606.9",0,0,0,4,0,1,0,0,0,0,0,0,0,0,1
"ENSG00000006607.15",5,1,11,1,1,8,3,4,11,3,2,0,2,2,0
"ENSG00000006611.17",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006625.19",39,37,28,117,60,148,58,64,116,120,140,108,39,74,109
"ENSG00000006634.9",22,6,12,31,27,21,20,12,28,23,12,1,0,24,10
"ENSG00000006638.13",0,4,0,0,6,6,0,0,0,0,1,4,0,1,0
"ENSG00000006659.13",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"ENSG00000006695.13",9,0,7,6,4,4,2,4,9,3,4,4,0,7,7
"ENSG00000006704.12",15,1,1,0,1,29,1,8,19,28,14,16,0,18,0
"ENSG00000006712.16",28,13,22,17,32,13,32,28,29,36,24,47,4,13,20
"ENSG00000006715.17",11,9,1,16,15,6,14,27,27,17,25,23,5,20,4
"ENSG00000006744.20",99,27,53,94,97,72,57,72,123,50,66,26,0,48,81
"ENSG00000006747.15",0,0,0,0,1,0,0,1,4,0,1,2,0,1,1
"ENSG00000006756.17",2,9,11,20,8,28,12,21,37,27,22,33,6,23,5
"ENSG00000006757.13",21,9,7,19,31,36,18,36,40,32,52,38,2,37,35
"ENSG00000006831.10",7,6,6,14,10,8,2,8,12,10,11,9,3,18,8
"ENSG00000007062.13",0,0,0,0,0,0,0,0,12,12,0,1,0,0,0
"ENSG00000007080.12",30,43,35,46,61,63,47,49,85,96,50,30,10,44,32
"ENSG00000007129.18",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ENSG00000007168.16",156,207,104,255,198,270,129,88,279,212,128,144,63,109,120
"ENSG00000007174.18",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ENSG00000007202.17",18,9,0,22,9,19,4,19,24,26,16,6,1,13,15
"ENSG00000007255.11",14,3,15,8,14,14,18,17,62,30,19,29,11,29,19
"ENSG00000007312.15",1,2,0,1,0,1,1,0,1,9,9,0,0,1,0
"ENSG00000007341.20",0,0,6,2,1,3,1,2,12,2,8,18,0,20,8
"ENSG00000007372.25",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007376.9",39,22,6,38,15,28,23,20,27,48,25,12,1,8,18
"ENSG00000007384.16",6,1,0,6,13,24,6,6,6,8,24,4,0,4,4
"ENSG00000007392.18",68,29,16,80,53,90,61,39,26,51,124,33,8,30,36
"ENSG00000007402.13",0,0,0,1,0,1,0,0,12,0,0,0,0,0,0
"ENSG00000007520.5",18,14,10,35,42,16,16,12,45,17,27,13,1,13,8
"ENSG00000007541.18",0,33,1,17,12,9,15,6,24,11,2,16,17,9,9
"ENSG00000007866.22",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ENSG00000007908.16",1,0,0,28,0,8,8,1,0,0,1,0,0,0,0
"ENSG00000007923.18",3,39,30,34,37,42,35,14,68,106,46,47,9,34,26
"ENSG00000007944.15",0,0,0,12,1,10,1,4,10,4,6,1,1,10,6
"ENSG00000007952.18",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"ENSG00000007968.7",4,0,1,1,1,0,0,0,0,3,1,0,0,0,1
"ENSG00000008018.10",126,131,97,356,192,772,101,562,756,774,702,662,149,747,609
"ENSG00000008083.14",2,2,4,6,4,1,7,1,10,4,2,2,0,0,8
