"Gene","HUVEC_low1","HUVEC_low2","HUVEC_low3","HUVEC_high1","HUVEC_high2","HUVEC_high3","HUVEC_high4","HUAEC_low1","HUAEC_low2","HUAEC_low3","HUAEC_low4","HUAEC_high1","HUAEC_high2","HUAEC_high3","HUAEC_high4"
"ENSG00000108602.18",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ENSG00000108604.19",58,21,30,83,78,66,69,68,92,58,23,58,17,67,36
"ENSG00000108622.12",484,415,295,1223,818,2126,394,1502,1948,2168,1899,1448,382,1993,1674
"ENSG00000108639.9",76,60,48,129,74,148,82,149,264,221,230,185,55,111,238
"ENSG00000108641.20",30,6,12,41,34,130,12,114,123,161,133,127,36,105,79
"ENSG00000108651.11",35,5,34,16,28,12,26,14,38,25,9,27,8,38,27
"ENSG00000108654.17",308,335,213,427,414,322,296,436,716,736,526,295,75,421,280
"ENSG00000108666.12",13,7,9,31,7,22,7,16,43,14,21,19,4,13,10
"ENSG00000108669.19",36,43,27,48,36,17,21,68,53,26,29,19,1,36,27
"ENSG00000108671.12",149,80,65,102,75,138,86,63,168,168,98,97,10,106,114
"ENSG00000108679.13",0,0,0,0,0,0,0,0,1,0,6,1,0,8,0
"ENSG00000108688.11",0,0,0,2,0,1,0,32,48,33,32,32,8,45,20
"ENSG00000108691.10",197,152,114,1354,578,2067,347,1675,1937,2037,1924,2566,671,3310,2512
"ENSG00000108700.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000108702.4",0,0,0,0,0,0,0,0,3,0,3,4,1,0,1
"ENSG00000108733.11",2,0,0,0,5,1,0,2,1,2,0,0,0,3,2
"ENSG00000108771.14",0,0,0,0,0,0,0,0,1,6,1,0,0,0,4
"ENSG00000108773.12",60,54,34,57,58,53,28,66,74,123,51,44,15,48,51
"ENSG00000108784.11",59,65,44,208,97,222,109,134,229,202,212,205,31,183,142
"ENSG00000108786.11",0,1,0,6,6,1,0,6,1,15,12,6,0,15,9
"ENSG00000108788.13",64,40,17,106,38,54,23,41,131,124,125,81,17,109,90
"ENSG00000108797.12",0,0,0,0,0,0,1,6,1,5,1,2,0,1,0
"ENSG00000108798.10",60,72,19,91,45,68,102,56,42,62,35,24,9,46,33
"ENSG00000108799.14",9,0,10,4,1,4,0,16,4,0,4,8,0,27,1
"ENSG00000108819.12",6,7,2,12,12,0,4,2,9,11,6,2,0,5,4
"ENSG00000108821.15",46,30,26,36,25,44,32,12,6,2,8,5,2,5,6
"ENSG00000108825.18",39,32,32,36,10,46,36,22,29,43,47,46,0,46,78
"ENSG00000108826.17",289,295,224,1306,608,1775,385,1108,1446,1721,1462,1355,295,1647,1114
"ENSG00000108828.17",149,185,107,217,202,166,194,111,176,219,135,136,31,190,125
"ENSG00000108829.11",26,27,16,40,43,33,23,42,23,62,50,26,5,35,37
"ENSG00000108830.12",0,0,0,0,0,0,0,0,6,0,1,0,0,1,0
"ENSG00000108840.18",0,14,1,8,12,1,0,1,0,20,0,1,6,0,0
"ENSG00000108846.17",0,0,0,2,0,0,0,34,20,30,31,2,0,5,2
"ENSG00000108848.16",23,18,17,35,30,20,25,23,25,20,38,11,0,16,6
"ENSG00000108852.16",1,2,0,0,0,1,1,0,0,1,10,0,0,0,0
"ENSG00000108854.17",34,18,24,106,23,46,29,26,59,39,23,14,1,17,36
"ENSG00000108861.10",25,26,16,26,25,26,14,46,48,69,39,47,4,29,34
"ENSG00000108883.14",142,85,51,87,119,66,102,101,156,166,79,67,34,104,96
"ENSG00000108932.14",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000108946.17",234,153,97,145,221,210,142,137,225,210,226,121,28,80,115
"ENSG00000108947.5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000108950.13",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"ENSG00000108953.17",768,454,316,796,747,1065,453,704,930,1215,855,749,158,816,625
"ENSG00000108960.10",0,6,7,6,6,6,0,8,4,12,4,0,1,0,1
"ENSG00000108961.15",61,49,70,233,188,367,45,235,331,340,391,268,50,369,256
"ENSG00000108963.19",91,89,71,94,122,126,83,105,201,253,155,109,8,169,78
"ENSG00000108984.17",8,28,1,21,34,17,20,0,24,1,0,12,0,3,4
"ENSG00000109016.19",0,6,14,18,1,19,8,13,50,23,1,25,0,36,29
"ENSG00000109046.16",106,29,47,60,80,81,47,65,84,165,103,62,15,68,52
"ENSG00000109062.13",24,12,8,40,48,52,32,21,36,56,32,48,14,44,40
"ENSG00000109063.16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000109065.13",15,16,1,17,10,8,0,2,6,35,18,3,6,14,23
"ENSG00000109066.15",21,23,15,77,11,8,8,30,16,19,16,36,7,12,1
"ENSG00000109072.15",0,0,8,0,1,0,0,0,1,0,2,0,0,6,5
"ENSG00000109079.11",18,35,13,19,13,34,39,15,25,27,40,11,1,28,19
"ENSG00000109083.15",15,28,33,103,69,306,49,191,314,329,309,271,53,236,278
"ENSG00000109084.14",74,60,24,39,32,73,40,77,74,88,95,50,21,51,35
"ENSG00000109089.8",11,10,2,13,8,11,7,5,17,18,12,5,0,5,10
"ENSG00000109099.17",43,41,32,60,41,74,32,146,183,148,137,23,0,118,60
"ENSG00000109103.13",37,8,16,28,32,32,16,28,52,15,30,32,0,36,12
"ENSG00000109107.15",1,9,0,1,1,1,1,0,9,12,1,9,0,6,6
"ENSG00000109111.16",17,25,35,37,17,24,27,57,36,58,52,14,3,24,30
"ENSG00000109113.21",94,38,90,134,85,39,67,97,152,94,86,79,20,106,70
"ENSG00000109118.15",1,7,0,2,1,3,1,4,0,3,1,1,0,10,6
"ENSG00000109133.15",21,12,14,37,19,30,10,7,29,17,32,13,1,3,16
"ENSG00000109171.16",0,0,1,12,8,17,9,8,8,20,18,6,1,2,6
"ENSG00000109180.16",78,104,51,175,107,176,63,109,247,165,148,182,24,226,75
"ENSG00000109184.16",18,1,11,9,27,11,22,25,34,58,4,57,0,13,19
"ENSG00000109189.14",1,1,6,0,5,4,6,12,1,19,4,11,1,3,12
"ENSG00000109193.13",4,5,2,0,4,8,4,3,2,7,0,2,0,1,2
"ENSG00000109205.18",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ENSG00000109208.5",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ENSG00000109220.12",6,2,6,14,8,19,10,4,11,10,11,12,1,10,11
"ENSG00000109255.11",0,0,0,0,0,0,0,0,1,0,0,0,0,9,0
"ENSG00000109265.15",0,1,2,0,0,1,1,3,0,1,0,0,1,0,0
"ENSG00000109270.14",15,7,10,28,13,21,0,25,34,52,15,18,5,25,22
"ENSG00000109272.4",0,1,6,0,0,0,0,2,0,1,0,1,0,0,2
"ENSG00000109320.15",22,42,1,22,61,21,11,42,28,90,42,53,1,66,25
"ENSG00000109323.12",9,2,9,12,1,5,2,1,9,38,16,4,0,3,17
"ENSG00000109332.21",440,375,281,389,506,430,384,344,547,641,502,275,80,388,364
"ENSG00000109339.25",14,26,64,71,32,37,66,14,15,22,34,7,0,24,30
"ENSG00000109381.22",25,10,1,1,22,22,50,1,2,25,1,10,1,10,2
"ENSG00000109390.14",3695,4745,3405,13533,8005,15914,6149,13380,19309,20024,17934,18225,2945,18170,13470
"ENSG00000109436.8",5,2,7,2,6,7,4,2,3,8,0,3,0,4,1
"ENSG00000109445.12",22,14,16,46,23,60,25,52,51,66,81,58,7,78,47
"ENSG00000109452.15",1,4,1,0,1,0,0,0,8,0,0,0,0,0,0
"ENSG00000109458.11",36,1,0,18,12,24,17,13,36,5,1,0,0,39,0
"ENSG00000109466.15",0,1,18,18,0,18,11,12,17,18,17,0,1,1,1
"ENSG00000109472.15",1,0,0,3,0,2,0,1,0,0,0,0,0,0,1
"ENSG00000109475.19",5386,5524,4409,13869,36956,75291,7511,62926,83023,91350,86741,82913,13954,81632,60478
"ENSG00000109501.16",71,47,12,62,41,45,57,19,51,61,10,48,0,8,17
"ENSG00000109511.12",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000109519.15",127,90,47,246,137,352,90,198,336,420,291,280,42,298,304
"ENSG00000109534.18",57,32,27,30,49,61,37,22,67,106,59,30,4,26,38
"ENSG00000109536.13",16,34,13,92,59,121,33,52,98,99,113,86,18,104,61
"ENSG00000109572.17",55,36,43,32,38,2,32,41,42,121,54,56,1,28,17
"ENSG00000109576.15",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"ENSG00000109586.13",12,0,3,12,18,12,15,0,22,23,6,15,6,15,8
"ENSG00000109606.14",99,54,38,90,65,58,55,41,75,119,52,44,23,100,87
"ENSG00000109618.14",0,0,1,1,2,10,0,0,1,0,1,0,0,5,2
"ENSG00000109667.13",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"ENSG00000109670.17",0,16,8,12,0,1,0,2,6,5,8,0,0,12,1
"ENSG00000109674.5",1,2,0,0,2,0,0,0,1,0,2,0,0,0,1
"ENSG00000109680.12",0,8,0,0,0,4,0,0,1,0,1,3,0,1,1
"ENSG00000109685.20",2739,2621,1555,1812,2338,1202,2674,1026,1873,2691,1730,1647,250,1469,917
"ENSG00000109686.22",66,44,40,66,24,56,33,76,102,150,106,65,12,103,68
"ENSG00000109689.20",2,19,3,1,12,26,18,0,36,12,0,1,0,39,3
"ENSG00000109736.16",33,1,0,0,26,14,15,10,19,17,21,35,0,0,15
"ENSG00000109738.12",0,0,8,0,14,0,0,0,0,1,0,1,1,10,0
"ENSG00000109743.13",139,253,197,369,416,928,293,682,820,1068,960,989,107,867,625
"ENSG00000109756.11",20,1,0,1,1,10,10,10,24,15,40,10,0,21,1
"ENSG00000109762.18",8,8,18,1,0,12,0,0,0,48,1,1,1,1,0
"ENSG00000109771.17",2,0,0,1,1,4,2,2,5,4,1,7,1,1,2
"ENSG00000109775.12",47,37,19,24,24,25,24,28,28,52,19,24,8,35,16
"ENSG00000109787.14",6,7,3,1,4,9,8,2,12,11,7,3,0,5,4
"ENSG00000109790.19",33,36,20,12,57,36,22,20,36,48,25,32,8,8,12
"ENSG00000109794.14",0,0,2,0,0,0,4,0,0,0,1,0,0,0,0
"ENSG00000109805.11",52,17,11,33,31,39,34,22,40,36,23,17,0,14,21
"ENSG00000109814.13",19,42,19,43,50,45,38,33,23,35,29,17,0,40,12
"ENSG00000109846.10",0,22,0,16,22,48,0,57,67,79,59,90,8,65,24
"ENSG00000109854.15",45,41,50,111,36,89,43,73,92,121,88,55,9,68,51
"ENSG00000109861.18",223,166,167,395,238,692,194,654,784,836,636,442,145,555,417
"ENSG00000109881.18",3,0,1,7,4,6,6,1,6,6,9,3,0,3,5
"ENSG00000109906.16",7,1,10,12,0,5,2,0,19,4,0,4,0,3,5
"ENSG00000109911.20",5,0,3,32,14,10,4,16,12,68,12,5,0,19,41
"ENSG00000109917.12",16,15,22,26,13,21,9,14,20,26,25,18,0,21,12
"ENSG00000109919.10",139,91,72,173,151,229,125,116,233,205,215,183,44,245,150
"ENSG00000109920.13",1,10,4,3,0,3,4,1,8,18,3,1,1,1,3
"ENSG00000109929.11",41,21,9,50,18,27,14,33,63,32,26,27,6,35,29
"ENSG00000109944.12",1,4,3,4,6,2,0,0,0,6,4,1,0,0,1
"ENSG00000109956.13",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000109971.15",1222,1189,763,1558,1364,1583,1228,1306,2080,2431,1804,1017,231,1238,918
"ENSG00000110002.17",10,0,0,1,1,0,1,0,1,4,8,1,0,6,8
"ENSG00000110013.14",2,4,0,2,4,4,2,8,14,16,16,8,1,15,6
"ENSG00000110031.13",1,1,0,0,9,8,6,9,20,18,6,4,0,9,23
"ENSG00000110046.14",1,6,6,14,4,4,1,8,8,8,8,4,0,1,1
"ENSG00000110047.19",156,106,98,68,60,83,105,68,162,136,106,84,0,87,36
"ENSG00000110048.13",4,9,3,5,7,5,5,5,11,11,5,6,1,14,7
"ENSG00000110057.9",2,0,2,0,2,1,1,0,1,0,4,2,0,0,0
"ENSG00000110060.10",12,0,15,0,12,0,8,8,27,12,10,18,8,12,4
"ENSG00000110063.11",16,9,0,21,20,20,0,29,35,38,23,56,2,31,50
"ENSG00000110066.16",39,6,3,3,16,15,4,2,6,12,0,11,3,8,10
"ENSG00000110074.13",15,1,4,32,12,1,1,7,33,14,41,0,1,28,14
"ENSG00000110075.16",42,95,23,53,46,11,92,66,90,73,50,80,19,28,28
"ENSG00000110077.17",1,1,4,1,2,0,2,6,8,1,3,2,0,0,2
"ENSG00000110079.20",0,0,0,0,2,0,3,0,1,0,0,1,0,24,1
"ENSG00000110080.20",6,1,1,7,0,8,0,1,27,6,17,0,0,6,2
"ENSG00000110090.14",43,43,25,58,31,58,27,100,134,158,129,94,22,101,68
"ENSG00000110092.5",48,28,31,54,46,47,40,20,48,46,32,17,8,37,31
"ENSG00000110104.13",37,22,23,87,44,119,46,82,150,158,97,87,20,91,65
"ENSG00000110107.10",46,30,11,58,37,32,22,27,21,55,32,36,3,16,8
"ENSG00000110108.12",141,42,36,123,86,81,105,73,103,187,102,79,9,81,54
"ENSG00000110171.21",1,12,0,18,1,0,1,1,21,0,1,0,0,12,0
"ENSG00000110172.12",28,27,23,100,42,51,45,22,16,66,37,34,1,21,39
"ENSG00000110200.10",66,139,59,670,216,933,116,607,852,812,698,669,145,866,659
"ENSG00000110218.10",4,6,1,0,8,6,0,0,4,18,0,6,0,0,0
"ENSG00000110237.6",22,0,8,22,8,12,4,10,6,8,24,12,0,6,6
"ENSG00000110244.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000110274.17",10,11,1,16,2,20,1,10,1,11,3,5,0,10,3
"ENSG00000110315.8",24,14,4,23,21,19,15,34,28,59,22,26,5,15,37
"ENSG00000110318.16",0,7,0,2,20,1,1,1,0,0,0,0,0,0,0
"ENSG00000110321.19",1221,1031,677,1336,1152,1285,1024,806,1336,1546,975,853,143,844,591
"ENSG00000110324.12",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000110328.7",0,0,1,0,0,0,0,7,6,4,4,3,0,4,3
"ENSG00000110330.11",731,689,635,1353,1214,1527,893,1073,1577,1709,1600,1299,203,1190,829
"ENSG00000110344.11",30,15,0,15,17,2,12,0,30,12,9,4,2,14,15
"ENSG00000110367.15",81,63,26,54,81,62,38,94,128,135,75,81,6,56,40
"ENSG00000110375.3",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"ENSG00000110395.8",4,0,2,9,2,3,8,0,0,20,0,2,0,8,8
"ENSG00000110400.11",3,1,0,1,1,1,2,2,1,2,6,0,0,5,1
"ENSG00000110422.13",9,30,9,27,21,19,24,9,15,9,10,7,0,6,0
"ENSG00000110427.18",15,9,1,0,12,12,9,30,6,24,6,15,0,9,9
"ENSG00000110429.15",13,15,1,24,6,12,6,11,8,1,29,6,0,25,8
"ENSG00000110435.14",26,8,7,33,5,15,8,27,11,14,11,13,1,3,7
"ENSG00000110442.13",18,11,9,32,30,57,19,47,51,39,48,42,10,58,42
"ENSG00000110446.13",0,0,0,10,1,17,23,0,23,39,10,30,0,29,10
"ENSG00000110455.15",0,1,0,0,0,0,0,0,4,1,0,6,0,6,0
"ENSG00000110492.18",359,349,237,772,451,601,334,381,468,601,540,521,102,549,358
"ENSG00000110497.16",16,15,2,15,20,15,9,0,31,25,15,10,0,45,15
"ENSG00000110514.20",8,47,0,24,24,30,24,31,42,24,17,1,1,23,36
"ENSG00000110583.14",8,8,0,63,38,45,1,20,7,55,29,18,1,22,11
"ENSG00000110619.19",65,37,29,44,47,52,28,28,60,116,53,28,17,42,39
"ENSG00000110628.17",0,4,0,0,0,0,0,0,0,16,0,0,0,0,1
"ENSG00000110651.14",242,210,233,263,292,285,219,193,471,502,327,218,54,192,210
"ENSG00000110660.16",10,8,14,17,16,21,17,6,13,11,12,12,4,6,14
"ENSG00000110675.14",0,0,1,0,6,1,1,1,1,6,0,0,1,0,0
"ENSG00000110693.20",0,0,0,1,0,1,0,0,2,0,0,0,0,0,0
"ENSG00000110696.11",139,97,72,267,139,240,107,218,269,365,288,233,56,260,153
"ENSG00000110697.13",0,0,1,0,1,12,8,0,0,0,0,12,0,16,8
"ENSG00000110700.8",11186,14673,11861,51065,29005,72014,21177,57466,78670,84141,76967,75535,13991,76680,58580
"ENSG00000110711.12",33,18,31,25,24,42,12,24,95,76,93,27,8,44,44
"ENSG00000110717.14",299,288,229,1208,605,1801,359,1221,1631,1708,1602,1353,287,1507,1322
"ENSG00000110719.11",66,47,13,7,47,55,4,13,60,53,58,29,0,49,21
"ENSG00000110721.13",4,4,3,11,7,0,2,15,0,15,4,16,0,7,1
"ENSG00000110723.12",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ENSG00000110756.18",5,1,1,4,0,1,1,1,0,3,1,0,0,0,2
"ENSG00000110768.12",6,13,7,14,18,41,12,21,30,18,23,39,0,34,19
"ENSG00000110799.15",135,74,57,128,111,99,73,98,137,159,116,76,22,72,76
"ENSG00000110801.15",96,84,41,255,137,335,89,237,389,279,231,221,77,261,272
"ENSG00000110811.21",52,32,31,44,82,70,31,61,105,135,103,40,7,49,38
"ENSG00000110841.15",65,24,32,41,82,72,44,89,42,62,25,19,3,64,18
"ENSG00000110844.15",0,1,1,1,0,0,7,2,8,1,0,0,0,6,0
"ENSG00000110848.8",0,0,0,1,0,0,0,0,1,0,8,2,0,2,0
"ENSG00000110851.13",6,1,10,5,7,4,8,16,10,13,4,11,2,7,3
"ENSG00000110852.6",44,37,20,100,34,178,40,489,559,691,602,447,115,547,446
"ENSG00000110871.16",6,4,8,14,3,12,17,19,26,9,8,5,1,10,10
"ENSG00000110876.10",6,1,0,0,0,1,0,0,6,0,0,1,0,2,0
"ENSG00000110880.12",92,50,61,80,114,105,71,58,123,174,64,67,10,70,64
"ENSG00000110881.12",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000110887.8",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000110888.20",0,1,8,10,0,6,1,7,1,0,1,8,0,0,0
"ENSG00000110900.17",0,1,0,9,0,6,1,0,0,0,0,0,0,0,0
"ENSG00000110906.14",61,40,13,86,64,71,56,31,68,104,71,59,9,48,39
"ENSG00000110911.18",19,28,2,25,1,1,0,16,27,25,1,5,0,7,1
"ENSG00000110917.10",43,45,35,69,38,52,53,36,84,77,48,38,5,36,45
"ENSG00000110921.15",125,110,33,52,56,52,20,79,168,101,75,35,1,32,17
"ENSG00000110925.7",4,2,3,5,3,3,1,2,7,5,2,0,0,2,0
"ENSG00000110931.20",34,37,10,50,36,15,11,102,60,67,49,36,0,24,17
"ENSG00000110934.13",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ENSG00000110944.9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"ENSG00000110955.10",195,205,97,219,196,206,167,215,339,339,231,124,45,202,209
"ENSG00000110958.17",435,291,167,316,260,336,235,301,491,463,311,275,62,217,196
"ENSG00000110987.9",0,4,1,4,1,0,0,0,1,0,1,0,1,4,0
"ENSG00000111011.19",260,356,289,901,394,784,367,657,861,1022,913,864,176,808,743
"ENSG00000111046.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000111052.9",1,3,0,1,2,3,1,0,4,5,0,0,0,0,1
"ENSG00000111057.12",556,313,293,527,520,511,405,322,337,478,344,340,89,237,415
"ENSG00000111058.9",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000111077.19",0,9,18,21,26,60,48,12,32,54,26,42,0,1,49
"ENSG00000111087.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000111110.13",1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"ENSG00000111142.15",137,146,87,201,154,165,129,160,228,256,197,200,40,187,118
"ENSG00000111144.11",51,31,54,73,76,95,34,45,108,115,77,67,16,78,42
"ENSG00000111145.9",54,57,37,55,39,32,28,44,105,88,50,34,5,23,28
"ENSG00000111186.14",12,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111196.12",132,154,161,691,348,909,185,742,1019,945,897,728,179,934,735
"ENSG00000111199.12",0,8,0,0,8,12,0,8,0,0,8,0,0,0,0
"ENSG00000111203.14",7,0,0,8,6,0,0,1,1,2,8,11,0,1,10
"ENSG00000111206.14",93,135,25,124,85,106,85,68,57,87,45,72,1,80,49
"ENSG00000111215.12",0,0,0,0,1,0,0,0,3,0,0,1,0,0,0
"ENSG00000111224.15",1,7,0,0,0,9,1,5,1,0,1,1,0,15,1
"ENSG00000111229.17",373,233,124,611,314,950,165,837,1069,1108,982,885,208,1022,862
"ENSG00000111231.10",22,27,12,52,29,47,44,48,33,77,40,43,14,16,42
"ENSG00000111237.19",517,516,461,3160,1161,5067,1009,3453,3815,4493,4693,3929,901,4970,3419
"ENSG00000111245.19",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSG00000111247.16",9,0,9,12,0,17,0,0,0,18,9,12,14,1,15
"ENSG00000111249.15",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111252.12",19,14,8,12,20,17,12,24,28,24,18,16,1,21,20
"ENSG00000111261.14",35,13,10,54,25,30,30,45,80,68,59,31,7,39,47
"ENSG00000111266.9",1,3,1,4,4,0,1,1,5,0,1,2,0,3,0
"ENSG00000111269.4",3,2,2,1,5,9,1,4,11,10,6,6,0,5,3
"ENSG00000111275.14",20,18,17,26,16,15,19,31,32,36,30,22,2,14,13
"ENSG00000111276.13",46,16,8,10,42,20,24,0,60,32,40,13,8,20,12
"ENSG00000111300.11",7,0,8,9,3,1,9,1,5,17,1,6,1,5,0
"ENSG00000111305.19",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111321.12",48,32,36,20,60,28,36,74,148,150,124,76,16,83,48
"ENSG00000111325.17",257,187,249,251,357,391,314,408,755,640,544,273,47,317,300
"ENSG00000111328.7",381,259,192,447,356,346,265,347,670,615,519,387,93,345,318
"ENSG00000111331.15",12,0,0,62,23,6,8,26,1,38,22,10,2,7,3
"ENSG00000111335.14",0,4,0,0,0,4,15,0,3,67,37,10,24,87,51
"ENSG00000111339.12",2,1,0,2,1,1,0,6,8,3,3,1,0,0,2
"ENSG00000111341.11",529,747,467,853,505,1719,324,2423,3152,3369,3076,2255,482,2391,1369
"ENSG00000111348.10",185,174,111,347,206,483,137,298,360,436,277,316,80,334,225
"ENSG00000111358.14",41,10,18,37,12,41,1,34,19,51,44,8,4,22,0
"ENSG00000111361.14",38,8,6,10,16,7,22,17,25,47,8,19,5,9,15
"ENSG00000111364.17",2,3,0,0,4,0,3,5,5,17,7,6,0,10,0
"ENSG00000111371.17",15,9,15,17,13,32,15,7,21,22,15,3,1,13,5
"ENSG00000111412.6",45,20,13,50,45,42,18,30,17,80,34,25,4,49,30
"ENSG00000111424.12",0,6,0,1,0,1,0,0,0,0,0,0,0,1,0
"ENSG00000111445.15",25,12,35,19,15,32,8,10,2,11,24,12,1,11,1
"ENSG00000111450.16",13,0,7,11,12,26,23,17,14,20,24,14,7,0,24
"ENSG00000111452.13",0,0,2,0,0,1,0,0,0,0,0,0,0,1,0
"ENSG00000111481.11",116,63,24,265,178,415,61,284,358,327,430,417,116,306,274
"ENSG00000111490.15",2,1,0,2,2,2,0,2,2,3,3,1,0,24,18
"ENSG00000111530.14",34,27,10,30,45,28,14,26,26,50,48,12,0,30,18
"ENSG00000111540.17",111,131,73,88,71,74,144,62,137,163,124,54,32,94,41
"ENSG00000111554.16",0,0,0,2,0,2,2,2,1,0,29,1,1,4,1
"ENSG00000111581.11",32,12,0,12,28,27,16,10,24,50,12,4,0,12,10
"ENSG00000111596.15",12,21,35,30,18,36,18,32,60,41,30,9,1,25,30
"ENSG00000111602.13",1,8,6,9,17,18,24,11,20,9,14,12,1,4,6
"ENSG00000111605.19",105,42,59,95,72,83,43,69,80,74,102,40,1,52,38
"ENSG00000111615.15",9,6,6,30,12,10,7,8,16,25,22,15,0,27,6
"ENSG00000111639.9",596,612,345,1214,1096,1875,552,1311,1882,2025,1783,1597,310,1666,1349
"ENSG00000111640.16",9317,5460,3722,11528,8054,15179,4902,11181,16460,16826,14309,11155,3036,13186,10916
"ENSG00000111641.14",187,119,53,144,154,97,154,119,159,221,194,118,36,87,80
"ENSG00000111644.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"ENSG00000111647.14",0,1,1,1,2,2,5,0,7,3,1,0,0,0,1
"ENSG00000111652.11",39,53,20,29,78,52,22,42,69,50,65,69,35,60,8
"ENSG00000111653.21",41,4,9,16,24,60,13,26,65,56,42,12,6,41,18
"ENSG00000111664.12",8,8,0,2,0,0,8,0,0,0,0,0,0,0,0
"ENSG00000111665.13",44,29,20,57,18,100,22,21,27,59,16,25,2,25,35
"ENSG00000111666.12",36,26,16,56,0,28,14,28,28,32,28,1,8,30,50
"ENSG00000111667.15",55,61,27,114,47,47,46,54,101,87,64,62,13,50,29
"ENSG00000111669.16",910,581,435,1466,1103,2282,671,1476,2203,2309,1972,1339,557,1860,1725
"ENSG00000111670.17",4,3,1,9,5,7,6,12,9,2,6,4,1,9,2
"ENSG00000111671.11",0,0,0,15,5,0,1,0,11,12,14,10,0,0,0
"ENSG00000111676.16",43,31,29,64,50,44,30,67,51,57,36,66,12,37,36
"ENSG00000111678.12",398,412,308,1344,879,1805,564,1602,2262,2333,2244,2295,414,2177,1594
"ENSG00000111679.18",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ENSG00000111684.12",10,0,2,12,6,22,6,30,6,3,23,30,6,4,6
"ENSG00000111696.12",1,0,2,0,0,2,1,0,1,0,1,0,0,0,0
"ENSG00000111704.11",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000111707.13",9,1,9,9,9,0,13,1,9,8,9,0,1,6,11
"ENSG00000111711.10",33,34,35,58,52,115,39,90,95,123,85,65,32,100,112
"ENSG00000111716.15",732,488,292,963,713,1037,608,660,894,1109,822,539,191,938,646
"ENSG00000111725.11",15,15,0,25,10,20,1,1,55,35,15,10,0,10,1
"ENSG00000111726.14",16,8,10,24,30,21,18,8,35,26,15,22,6,8,10
"ENSG00000111727.13",0,0,8,1,24,24,1,0,24,0,4,8,8,1,0
"ENSG00000111731.14",20,20,0,8,1,30,0,14,30,8,14,1,0,0,0
"ENSG00000111737.13",12,7,13,8,9,8,5,0,32,12,16,10,0,23,9
"ENSG00000111752.12",19,12,1,4,0,2,14,2,6,10,0,0,0,9,11
"ENSG00000111775.4",625,671,578,2500,1307,3567,1028,2870,3740,3944,3740,3524,675,3523,2813
"ENSG00000111783.14",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000111785.21",17,12,0,6,17,1,0,21,51,3,1,3,0,1,6
"ENSG00000111786.11",253,142,154,309,268,326,195,302,403,381,373,210,64,271,220
"ENSG00000111790.15",19,23,9,56,31,84,34,50,87,99,116,78,20,81,58
"ENSG00000111799.23",1,0,11,31,1,16,14,7,0,1,0,4,0,6,1
"ENSG00000111801.17",0,0,5,0,18,17,8,0,28,1,0,30,0,1,1
"ENSG00000111802.15",28,43,12,66,32,39,32,37,22,14,24,21,8,16,14
"ENSG00000111816.8",2,8,11,20,10,6,7,2,4,2,5,0,1,1,3
"ENSG00000111817.20",16,1,3,1,2,46,0,2,18,67,1,54,0,0,0
"ENSG00000111832.13",47,60,42,111,126,209,27,143,194,277,212,153,42,212,152
"ENSG00000111843.14",79,70,23,203,93,373,64,292,447,392,386,302,91,401,331
"ENSG00000111845.5",7,6,2,7,7,1,8,4,4,4,10,6,0,9,4
"ENSG00000111846.20",1,6,1,9,1,2,1,10,19,25,7,12,0,1,1
